A,C,D,E,F,G,H,K,P,Q,S,T
Μαξίμου,,,,Μαξίμου,,Μαξίμου,Μαξίμου,Μαξίμου,,Μαξίμου,
,,,,ἁγίου,,ἁγίου,,,,,
Ἡ,,Ἡ,Ἡ,Ἡ,,Ἡ,Ἡ,,Ἡ,Ἡ,Ἡ
περὶ,περὶ,περὶ,περὶ,περὶ,,περὶ,περὶ,περὶ,περὶ,περὶ,περὶ
τῆς,τῆς,τῆς,τῆς,τῆς,,,τῆς,τῆς,,τῆς,τῆς
τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ
πνεύματος,πνεύματος,,πνεύματος,πνεύματος,,πνεύματος,πνεύματος,,,,πνεύματος
τοῦ,τοῦ,,τοῦ,τοῦ,,τοῦ,τοῦ,,,,τοῦ
ἁγίου,ἁγίου,ἁγίου,ἁγίου,ἁγίου,,ἁγίου,ἁγίου,ἁγίου,ἁγίου,ἁγίου,ἁγίου
,,πνεύματος,,,,,,πνεύματος,πνεύματος,πνεύματος,
βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημία,βλασφημίας,βλασφημίας
ἀπορία,ἀπορία,ἀπορία,ἀπορία,ἀπορία,,ἀπορία,ἀπορία,ἀπορία,,ἀπορία,ἀπορία
αὐτόθι,αὐτόθι,αὐτόθι,αὐτόθεν,αὐτόθι,,αὐτόθι,αὐτόθεν,αὐτόθι,αὐτόθεν,αὐτόθι,αὐτόθι
ἔχει,ἔχει,ἔχει,ἔχει,ἔχει,,ἔχει,ἔχει,ἔχειν,ἔχει,ἔχει,ἔχει
τὴν,τὴν,τὴν,τὴν,τὴν,,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν
λύσιν·,λύσιν·,λύσιν·,λύσιν·,λύσιν·,,λύσιν·,λύσιν·,λύσιν·,λύσιν·,λύσιν·,λύσιν·
ὁ,ὁ,ὁ,ὁ,ὁ,,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ
δὲ,δὲ,δὲ,δὲ,δὲ,,δὲ,δὲ,δὲ,δὲ,δὲ,δὲ
δεύτερος,δεύτερος,δεύτερος,δεύτερος,δεύτερος,,δεύτερος,δεύτερος,δεύτερος,δεύτερος,δεύτερος,δεύτερος
ἐστὶν,ἐστὶν,ἐστὶν,ἐστὶν,ἐστὶν,,ἐστὶν,ἐστὶν,ἐστὶν,ἐστὶν,ἐστὶν,ἐστὶν
οὗτος·,οὗτος·,οὗτος·,οὗτος·,οὗτος·,,οὗτος·,οὗτος·,οὗτος·,οὗτος·,οὗτος·,οὗτος·
ὅτάν,ὅτάν,ὅτάν,ὅτάν,ὅτάν,,ὅτάν,ὅτάν,ὅτάν,ὅτάν,ὅτάν,ὅτάν
τις,τις,τις,τις,,,τις,τις,τις,τις,τις,τις
ἐν,ἐν,ἐν,ἐν,ἐν,,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις
"ἐνεχόμενος,","ἐνεχόμενος,","ἐνεχόμενος,","ἐνεχόμενος,","ἐνεχόμενος,",,"ἐνεχόμενος,","ἐνεχόμενος,","ἐνεχόμενος,","ἐνεχόμενος,","ἐνεχόμενος,","ἐνεχόμενος,"
ἀκούων,ἀκούων,ἀκούων,ἀκούων,ἀκούων,,ἀκούων,ἀκούων,ἀκούων,ἀκούων,ἀκούων,ἀκούων
δὲ,δὲ,δὲ,δὲ,δὲ,,δὲ,δὲ,δὲ,δὲ,δὲ,δὲ
τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ
κυρίου,κυρίου,κυρίου,κυρίου,κυρίου,,κυρίου,κυρίου,κυρίου,κυρίου,κυρίου,κυρίου
λέγοντος,λέγοντος,λέγοντος,λέγοντος,λέγοντος,,λέγοντος,λέγοντος,λέγοντος,λέγοντος,λέγοντος,λέγοντος
μὴ,μὴ,μὴ,μὴ,μὴ,,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ
,κρίνετε,,κρίνετε,κρίνετε,,κρίνετε,κρίνετε,κρίνετε,κρίνετε,κρίνετε,
κρίνεται,,κρίνεται,,,,κρίνεται,,,,,κρίνεται
φοβούμενος,φοβούμενος,φοβούμενος,φοβούμενος,φοβούμενος,,φοβούμενος,φοβούμενος,φοβούμενος,φοβούμενος,φοβούμενος,φοβούμενος
οὐδένα,οὐδένα,οὐδένα,οὐδένα,οὐδένα,,οὐδένα,οὐδένα,οὐδένα,οὐδένα,οὐδένα,οὐδένα
κρίνει,κρίνῃ,κρίνει,κρίνει,κρίνει,,κρίνει,κρίνει,κρίνῃ,κρίνῃ,κρίνῃ,κρίνει
ἐν,ἐν,ἐν,ἐν,ἐν,,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
τῇ,τῇ,τῇ,τῇ,τῇ,,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ
ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει
τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν
βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων
ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς
φύλαξ,φύλαξ,φύλαξ,φύλαξ,φύλαξ,φύλαξ,φύλαξ,φύλαξ,φύλαξ,φύλαξ,φύλαξ,φύλαξ
τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς
ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς
οὐ,οὐ,οὐ,οὐ,οὐ,οὐ,οὐ,οὐ,οὐ,οὐ,οὐ,οὐ
κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·
εἰ,εἰ,εἰ,εἰ,εἰ,εἰ,εἰ,εἰ,εἰ,εἰ,εἰ,εἰ
μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ
τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ
γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι
"πιστόν,","πιστόν,","πιστόν,","πιστόν,","πιστόν,","πιστόν,","πιστόν,","πιστόν,","πιστόν,","πιστόν,","πιστόν,","πιστόν,"
εἰκότως,εἰκότως,εἰκότως,εἰκότως,εἰκότως,εἰκότως,εἰκότως,εἰκότως,εἰκότως,εἰκότως,εἰκότως,εἰκότως
ὅταν,ὅταν,ὅταν,ὅταν,ὅταν,ὅταν,ὅταν,ὅταν,ὅταν,ὅταν,ὅταν,ὅταν
ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις
τίς,τίς,τίς,τίς,τίς,τίς,τίς,τίς,τίς,τίς,τίς,τίς
ὢν,ὢν,ὢν,ὢν,ὢν,ὢν,ὢν,ὢν,ὢν,ὢν,ὢν,ὢν
οἰκονομῆται,οἰκονομῆται,οἰκονομεῖται,οἰκονομεῖται,οἰκονομεῖται,οἰκονομεῖται,οἰκονομεῖται,οἰκονομῆται,οἰκονομῆται,οἰκονομῆται,οἰκονομεῖται,οἰκονομεῖται
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ἐκ
τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς
προνοίας,προνοίας,προνοίας,προνοίας,προνοίας,προνοίας,προνοίας,προνοίας,προνοίας,προνοίας,προνοίας,προνοίας
ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
"συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,"
ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
"ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,"
ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
νόσοις,νόσοις,νόσοις,νόσοις,νόσοις,νόσοις,νόσοις,νόσοις,νόσοις,νόσοις,νόσοις,νόσοις
