A,B,C,D,E,E (a.c.),F,G,H,K,P,P (a.c.),Q,Q (a.c.),S,T,T (a.c.)
Μαξίμου,#LACUNA#,,,,,Μαξίμου,#LACUNA#,Μαξίμου,Μαξίμου,Μαξίμου,Μαξίμου,,,Μαξίμου,,
,#LACUNA#,,,,,ἁγίου,#LACUNA#,ἁγίου,,,,,,,,
Ἡ,#LACUNA#,,Ἡ,Ἡ,Ἡ,Ἡ,#LACUNA#,Ἡ,Ἡ,,,Ἡ,Ἡ,Ἡ,Ἡ,Ἡ
περὶ,#LACUNA#,περὶ,περὶ,περὶ,περὶ,περὶ,#LACUNA#,περὶ,περὶ,περὶ,περὶ,περὶ,περὶ,περὶ,περὶ,περὶ
τῆς,#LACUNA#,τῆς,τῆς,τῆς,τῆς,τῆς,#LACUNA#,,τῆς,τῆς,τῆς,,,τῆς,τῆς,τῆς
τοῦ,#LACUNA#,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,#LACUNA#,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ
πνεύματος,#LACUNA#,πνεύματος,,πνεύματος,πνεύματος,πνεύματος,#LACUNA#,πνεύματος,πνεύματος,,,,,,πνεύματος,πνεύματος
τοῦ,#LACUNA#,τοῦ,,τοῦ,τοῦ,τοῦ,#LACUNA#,τοῦ,τοῦ,,,,,,τοῦ,τοῦ
ἁγίου,#LACUNA#,ἁγίου,ἁγίου,ἁγίου,ἁγίου,ἁγίου,#LACUNA#,ἁγίου,ἁγίου,ἁγίου,ἁγίου,ἁγίου,ἁγίου,ἁγίου,ἁγίου,ἁγίου
,#LACUNA#,,πνεύματος,,,,#LACUNA#,,,πνεύματος,πνεύματος,πνεύματος,πνεύματος,πνεύματος,,
βλασφημίας,#LACUNA#,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,#LACUNA#,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημία,βλασφημία,βλασφημίας,βλασφημίας,βλασφημίας
ἀπορία,#LACUNA#,ἀπορία,ἀπορία,ἀπορία,ἀπορία,ἀπορία,#LACUNA#,ἀπορία,ἀπορία,ἀπορία,ἀπορία,,,ἀπορία,ἀπορία,ἀπορία
