A,B,C,D,E,F,G,H,P,Q,S,T
,,Ἰσιδώρου,Ἰσιδώρου,Ἰσιδώρου,,,Ἰσιδώρου,Ἰσιδώρου,νείλου,Ἰσιδώρου,
,,Πηλουσίου,πηλουσιώτ(ου),Πηλουσίου,,,Πηλουσίου,πηλουσιώτ(ου),τοῦ,πηλουσιώτ(ου),
Γρηγορίου,,Γρηγορίου,Γρηγορίου,Γρηγορίου,Γρηγορίου,Γρηγορίου,Γρηγορίου,Γρηγορίου,,Γρηγορίου,Γρηγορίου
Νύσης,,Νύσης,Νύσης,Νύσης,Νύσης,Νύσης,Νύσης,Νύσης,νύσσης,Νύσης,Νύσης
Ἤκουσά,,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά
που,,που,που,που,που,που,που,που,που,που,που
τῆς,,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς
ἁγίας,,ἁγίας,ἁγίας,ἁγίας,ἁγίας,ἁγίας,ἁγίας,ἁγίας,ἁγίας,ἁγίας,ἁγίας
γραφῆς,,γραφῆς,γραφῆς,γραφῆς,γραφῆς,γραφῆς,γραφῆς,γραφῆς,γραφῆς,γραφῆς,γραφῆς
κατακρινούσης,,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης
"ἐκείνους,",,"ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,"
οἳ,,οἳ,οἳ,οἳ,οἳ,οἳ,οἳ,οἳ,οἳ,οἳ,οἳ
κατὰ,,κατὰ,κατὰ,κατὰ,κατὰ,κατὰ,κατὰ,κατὰ,κατὰ,κατὰ,κατὰ
τῆς,,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,,τῆς,τῆς
τοῦ,,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ
