A,B,C,D,E,F,G,H,K,P,Q,S,T
Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις
γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς
,πεφαρμακευμένον,,,,,,,,πεφαρμακευμένον,,πεφαρμακευμένον,
βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,μέλος
ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ
πεφαρμακευμένον,,πεφαρμακευμένον,πεφαρμακευμένον,πεφαρμακευμένον,πεφαρμακευμένον,πεφαρμακευμένον,πεφαρμακευμένον,πεφαρμακευμένον,,πεφαρμακευμένον,,πεφαρμακευμένον
ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε
τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν
"ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,"
καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ
τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν
ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν
"ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,"
καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ
ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον
"χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,"
πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα
τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν
σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν
ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.
βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον
γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ
οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι
μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα
σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν
